Проект,Мониторинг,"Срок жизни, в мес.",Cреднеарифметический % месячной доходности,Max просадка,Мах незафиксированная просадка,Общая доходность,"Среднемесячная доходность, %","Среднегодовая доходность, %",Лучший месяц,Худший месяц,Коэффициент Шарпа,05.21,06.21,07.21,08.21,09.21,10.21,11.21,12.21,01.22,02.22,03.22,04.22,05.22,06.22,07.22,08.22,09.22,10.22,11.22,12.22,01.23,02.23,03.23,04.23,05.23,06.23,07.23,08.23,09.23,10.23,11.23,12.23,01.24,02.24,03.24,04.24,05.24,06.24,07.24,08.24,09.24,10.24,11.24,12.24,01.25,02.25,03.25,04.25,05.25,06.25,07.25,08.25,09.25,10.25,11.25,12.25,01.26,02.26
,Среднее значение:,"23,42","3,88","-47,12","-28,15","193,31","7,55","47,86","50,25","-25,40","0,21","6,2","10,4","2,9","2,9","9,2","6,1","0,1","-3,3","1,9","6,5","10,8","-1,8","4,9","2,3","8,8","-1,5","-0,5","3,5","8,3","-0,2","13,8","1,9","8,3","2,0","-3,3","6,8","-1,0","2,1","-4,4","9,3","4,0","15,0","1,5","28,7","11,8","-1,1","3,9","-2,6","1,2","-0,2","2,9","0,6","21,5","1,3","0,6","-6,5","-1,6","4,5","1,7","-2,8","8,0","11,1","-0,6","-0,4","-1,0","-4,4","7,9","-1,2"
QINV AI-Powered Crypto Portfolio,https://app.zignaly.com/profit-sharing/65d753a8611ae7600b062f9f,25,"-0,55","-48,40",,"-33,39","-1,34","-12,21","35,77","-29,09","-1,60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,86","11,33","-29,09","8,29","-11,47","2,40","-14,55","7,86","-1,01","35,77","-9,64","9,96","-28,67","3,62","10,31","11,21","2,29","14,28","0,19","1,26","-4,07","-17,60","-3,34","-4,83","-20,16"
Diva-HighR,https://app.zignaly.com/profit-sharing/649aacb24bd33877167541de,32,"-0,23","-44,10",,"-18,70","-0,58","-4,30","24,76","-19,09","-0,71",,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,46","3,48","-3,46","7,39","-5,97","1,37","-2,58","-14,27","0,18","21,16","8,35","3,12","-0,01","24,76","-7,32","-12,68","2,04","-10,63","-0,07","0,31","1,86","2,76","-15,11","4,47","-6,89","4,20","12,32","1,89","1,36","-2,01","-5,86","-19,09"
Tangey Daniel E Hubner,https://www.etoro.com/people/howtogetref/stats,58,"-1,82","-65,76",,"-76,97","-1,33","-16,19","43,56","-22,77","-0,65","-0,91","2,84","-5,34","5,96","-6,97","7,76","-8,29","-11,76","-13,58","-0,57","4,42","-19,69","-9,82","-12,20","11,10","1,76","-9,53","0,81","1,76","-11,09","27,83","-4,95","-2,61","-5,56","-2,91","6,98","9,24","-17,13","-7,95","-3,76","14,95","14,21","-9,68","16,31","8,96","-13,48","9,83","-5,30","-0,83","-10,21","7,65","-0,36","43,56","-15,51","-3,86","-22,77","-15,09","8,93","-1,41","-4,76","11,15","4,65","-0,21","-15,32","-16,57","-16,41","-9,78","-10,28"
Olympus P O S E I D O N,https://app.zignaly.com/profit-sharing/60a75e85da8e96240e2c49ff,58,"0,39","-73,40",,"-55,52","-0,96","-7,46","55,57","-46,61","-0,36","14,41","4,22","8,31","30,52","37,78","19,68","-17,34","-37,76","-13,74","-5,87","14,54","-5,19","-15,94","-4,98","11,64","-3,49","-8,71","1,64","-6,57","-5,76","18,61","6,06","-6,38","-7,25","-5,77","-24,89","0,61","-2,39","0,00","2,99","17,35","32,89","-24,02","43,58","55,57","-46,61","6,53","-26,94","-20,71","-15,12","4,29","-5,94","53,26","-9,38","-21,54","2,71","-5,19","-6,85","-8,65","-4,22","6,47","-0,54","1,13","-4,92","0,77","-0,50","0,00","0,09"
Trend Team Trading,https://tradelink.pro/portfolio/426dcc4b-7573-4f47-aa5f-372c64d1b4ab?t=1730617200,27,"0,10","-34,74",,"-1,64","-0,06","0,81","12,02","-10,36","-0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0,65","-0,75","8,17","2,12","-1,06","0,41","-1,71","2,52","3,22","0,83","1,75","12,02","-1,84","-3,52","-10,36","-6,64","11,02","10,56","-1,22","6,88","-3,62","1,25","-0,34","-7,87","-8,46","-4,25","-5,72"
TradeForImpact Ultra Safe,https://app.zignaly.com/profit-sharing/61af89264bd3384d8220f87c,51,"-0,76","-59,50",,"-46,54","-0,91","-3,43","30,77","-13,21","-0,21",,,,,,,,"-0,69","-7,55","-5,12","14,07","-9,58","-5,41","-8,35","9,40","-6,19","-6,66","-2,63","-4,36","-4,36","19,58","0,52","30,77","-7,21","-1,26","-1,05","-0,65","-1,00","3,97","3,99","2,78","7,96","-7,22","15,33","13,01","-7,76","-1,31","-7,07","-3,74","-1,05","4,21","-4,22","19,89","-6,09","-9,93","-11,31","-3,65","25,63","-10,92","-3,95","9,44","-8,68","-5,41","-12,20","-11,44","-13,21","-5,62","-12,29"
SYGNAL Equilibria,https://app.zignaly.com/profit-sharing/658c16e6ce0b08be190aaa06,27,"0,64","-19,60",,"15,21","0,56","3,79","11,74","-13,19","-0,17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0,22","-2,28","1,88","1,81","3,59","-4,26","1,79","0,78","3,48","-0,62","-1,92","5,12","4,82","-6,62","4,71","-13,19","11,74","5,09","-1,23","8,18","-5,08","-0,36","0,57","-0,73","1,02","3,19","-3,89"
SAVINSKYI HORIZON BREAK,https://tradelink.pro/portfolio/cd6adf35-3dca-446b-a73f-8ae56eb1a560,40,"-2,89","-99,13",,"-96,45","-2,41","-5,02","44,91","-89,22","-0,16",,,,,,,,,,,,,,,,,,,"0,38","-0,27","-4,39","-16,24","6,44","4,27","-3,49","1,51","-2,45","-10,86","1,55","6,37","10,84","10,83","0,46","44,91","1,80","-18,86","-89,22","-73,67","-8,87","-6,67","6,93","-4,82","-24,13","-7,46","24,33","27,08","6,45","3,93","0,25","0,20","3,07","1,34","-0,83","-1,58","-2,23","-0,12","-1,34","-1,21"
