Проект,Мониторинг,Cреднеарифметический % месячной доходности,Max просадка,Общая доходность,"Среднемесячная доходность, %",Лучший месяц,Худший месяц,Коэффициент Шарпа,05.21,06.21,07.21,08.21,09.21,10.21,11.21,12.21,01.22,02.22,03.22,04.22,05.22,06.22,07.22,08.22,09.22,10.22,11.22,12.22,01.23,02.23,03.23,04.23,05.23
,Среднее значение:,"4,73","-32,66","57,43","5,44","35,94","-16,50","0,31","9,52","4,16","2,21","2,64","10,89","7,03","0,69","-1,73","0,76","4,68","12,28","-1,28","5,74","0,15","7,34","-1,10","-2,19","2,91","10,39","-1,49","13,67","1,85","8,14","2,08","-5,61"
AVA Family Crypto Investment Fund,"https://tradelink.pro/portfolio/b9cbf2f4-6d22-482e-8b40-a006fb1141ab 
https://tradelink.pro/portfolio/edbe357a-4f7d-4ce1-96ae-f72750e8143a","18,17","-59,44","1 122,40","56,12","136,18","-44,26","1,44",,,,,,"0,47","7,70","19,42","6,57","2,57","5,33","1,23","31,7","1,62","-5,1","6,42","6,81","14,58","108,18","17,8","136,18","-44,26","28,51","11,91","5,68"
Copy-Trade Investizo Ultra Marine,https://www.myfxbook.com/ru/members/tstvector/investizo-ultra-marine/8719521,"10,49","-76,82","356,21","15,49","85,73","-34,29","0,51",,,"29,84","3,01","-2,22","28,55","17,26","-27,54","19,76","0,74","85,73","3,40","12,52","74,06","40,31","21,36","-22,94","-8,49","24,24","31,3","-10,94","-6,58","-19,1","-18,76","-34,29"
IQ Security Fund,https://tradelink.pro/portfolio/9edc3f9e-fe0f-49ff-aeb3-70b9289c2c86,"9,37","-75,55","287,77","15,15","67,98","-17,46","0,67",,,,,,,"5,03","-10,89","9,22","44,76","0,03","-17,46","0,59","-8,67","-7,31","-4,81","12,39","9,43","45,38","2,97","6,31","0,71","67,98","34,47","-12,06"
IQ Security Fund ICE LAB,https://www.myfxbook.com/members/IceFXMarkets/ice-lab/9792935/Swzzjd7PGtUn42t0Ceh9,"5,92","-16,96","286,33","11,45","35,25","-4,36","1,23","0,22","3,02","4,47","-0,65","18,51","12,13","-1,76","1,87","7,18","11,76","5,87","4,40","0,48","11,52","5,46","-1,39","0,00","-0,32","12,18","-4,36","1,39","0,65","35,25","24,44","-4,34"
EDKhan Utopia,"https://fund.edkhan.net/ranking/1180
https://app.createcapital.pro/ranking/2461
https://tradelink.pro/portfolio/8e216b21-54de-42f0-a03c-5ea789163151","9,76","-9,36","229,69","14,36","95,55","-8,48","0,57",,,,,,,,,,"-7,47","95,55","-0,37","35,74","8,87","-4,79","-1,92","6,12","-3,37","1,5","6,85","14,29","-1,28","9,74","5,16","-8,48"
Copy-Trade ICE LAB,https://copy-trade.pro/ice-lab-monitoring,"17,98",,"212,42","26,55","74,80","-12,34",-,,,,,,,,,,,,,,,,,,"11,6","48,2","5,3","6,3","1,6","74,8","8,4","-12,34"
Copy-Trade ENOT 5,https://www.mql5.com/ru/signals/1378207?source=Site+Signals+My,"8,66","-46,80","182,81","11,43","62,78","-16,61","0,51",,,,,,,,,,"-8,61","62,78","7,57","3,47","41,11","29,19","27,41","-14,26","-10,46","2,63","25,16","1,48","-1,84","-2,74","-7,7","-16,61"
EDKhan First InFractals,"https://copy.afifoundation.ru/ranking/2095
https://fund.edkhan.net/ranking/841
https://copy.raprofit.com/ranking/2231
https://tradelink.pro/portfolio/ca39bb79-b9d6-4b06-bcd7-d80492275bae","4,25","-22,87","169,62","6,78","31,91","-7,59","0,98","11,92","8,32","4,30","1,57","6,49","3,14","2,62","1,29","4,02","2,14","-0,60","4,84",-2,"3,88","3,21","3,27","8,97","3,18","4,3","2,72","-1,32","5,14","31,91","0,47","-7,59"
