Проект,Мониторинг,Cреднеарифметический % месячной доходности,Max просадка,Мах незафиксированная просадка,Общая доходность,"Среднемесячная доходность, %",Лучший месяц,Худший месяц,Коэффициент Шарпа,05.21,06.21,07.21,08.21,09.21,10.21,11.21,12.21,01.22,02.22,03.22,04.22,05.22,06.22,07.22,08.22,09.22,10.22,11.22,12.22,01.23,02.23,03.23,04.23,05.23,06.23,07.23,08.23
,Среднее значение:,"4,37","-36,21","-15,52","59,95","5,19","33,77","-19,41","0,30","9,21","4,34","2,06","2,70","10,06","6,86","0,88","-1,53","1,16","4,62","11,57","-1,42","5,57","0,09","7,32","-1,14","-2,11","3,98","9,76","0,72","13,51","2,02","7,78","2,00","-5,01","4,84","-0,95","1,66"
Mellivora trade TradeLink M_USD,https://tradelink.pro/portfolio/71c126e3-15d7-42c7-9001-fbd3b8375572,"-2,96","-49,05",,"-37,13","-2,65","6,93","-18,38","-0,34",,,,,,,,,,,,,,,"5,27","-11,58","-18,38","-1,88","0,02","-1,09","5,68","-1,9","3,73","-10,07","-10,61","2,83","-10,32","6,93"
Triple AI Feynman [ETH] (ex Прикольные инвестиции),https://tradelink.pro/portfolio/e6f56f24-b735-42e1-84a3-acdd81155d73,"-3,23","-70,10",,"-44,42","-3,70","28,16","-27,61","-0,20",,,,,,,,,,,,,,,,,"-15,01","23,47","17,03","-19,39","28,16","-2,01","1,34","0,8","-24,23","-8,17","-27,61","-13,11"
Triple AI TradeLink PR_T_USD (ex Прикольные инвестиции),https://tradelink.pro/portfolio/161fd287-e708-4c4b-a697-9165278338ec,"-1,38","-36,30",,"-22,91","-1,64","16,61","-15,69","-0,16",,,,,,,,,,,,,,,"-2,39","0,98","-15,69","12,22","13,34","-11,1","16,61","-4,63","-2,51",1,"-12,21","0,14","-12,34","-2,78"
jaynemesis,https://www.etoro.com/people/jaynemesis/stats,"-0,63","-22,25",,"-22,21","-0,79","16,97","-12,85","-0,11","-0,34","7,88","-1,27","1,13","-6,33","12,47","-2,87","-4,52","-11,69","-0,20","2,60","-12,85","-1,35","-10,69","16,97","-3,48","-11,82","5,23","8,05","-7,71","7,76","-2,91","2,5","-3,55","0,41","4,6","1,13","-6,92"
jeppekirkbonde,https://www.etoro.com/people/jeppekirkbonde/stats?dl=30001923&utm_medium=Networks&utm_source=57423&utm_content=0&utm_serial=7oSZ1XcCMzZEtc9&utm_campaign=7oSZ1XcCMzZEtc9&utm_term=&A57423_TClick_S7oSZ1XcCMzZEtc9_aspx=&from_lp=whiteLP,"-0,02","-16,58",,"-3,60","-0,13","9,73","-8,24","-0,03","2,50","1,85","-0,94","0,54","-3,99","5,98","-2,70","1,72","-4,94","-2,06","2,07","-8,08","-1,34","-7,67","6,05","-3,18","-8,24","3,23","9,73","-4,41","9,11","-3,21","4,29","-0,85","-0,68","5,07","3,53","-3,87"
Mellivora trade BTC,https://tradelink.pro/portfolio/418598be-fc59-4da6-a7ce-eb8a78f9b75d,"2,13","-56,03",,"-9,83","-0,70","57,97","-22,93","-0,03",,,,,,,,,,,,,,,"23,37","-22,93","-21,26","6,1","-22,03","-3,28","57,97",-2,"46,77","-2,16","-20,35","23,91","-17,11","-17,23"
RAProfit Scalping Dream,https://copy.raprofit.com/ranking/1597,"2,07",,"-5,64","-5,52","-0,37","17,72","-56,04","-0,02",,,,,,,,,,,,,,"1,74","11,86","15,66","17,72","0,74","14,24","11,23","-20,66","10,05",12,"11,47","-11,15","-56,04","14,55","-2,34"
Triple AI Bourbaki [BTC+ETH] (ex Прикольные инвестиции),https://tradelink.pro/portfolio/42701af9-5946-4e6e-819e-a35a89506ff1,"2,05","-61,20",,"0,01","0,00","37,56","-30,48","0,00",,,,,,,,,,,,,,,,,"26,25","37,56","29,16","-30,48","7,19","-7,68",-5,"3,16","-27,33","8,04","-12,61","-3,62"
Triple AI TradeLink PR_T_BTC (ex Прикольные инвестиции),https://tradelink.pro/portfolio/a1034bbf-b60d-48dd-9d25-413376f76607,"1,95","-41,25",,"2,79","0,21","59,56","-17,20","0,01",,,,,,,,,,,,,,,,"-14,77","-4,60","16,66","-5,57","-12,55","59,56","-3,96","18,59","5,07","-17,2","11,41","-15,94","-11,37"
Triple AI TradeLink PR_CT_USD (ex Прикольные инвестиции),https://tradelink.pro/portfolio/97b11ae8-1a6a-494b-ac55-c176088425d3,"1,03","-32,60",,"3,65","0,30","27,76","-17,12","0,02",,,,,,,,,,,,,,,,,"-2,88","1,17","-12,48","-3,58","-12,03","13,66","27,76","0,96","-1,27","16,39","-17,12","1,77"
AfiTrading Foundation TURBO SCALP,https://copy.afitrading.ru/ranking/1934,"4,04",,"-15,47","11,85","0,99","37,66","-56,18","0,04",,,,,,,,,,,,,,,,,"37,66","15,49","18,94","-56,18","0,00","0,00","1,61","4,17","1,39","-3,10","5,54","22,99"
Triple AI Turing [BTC] (ex Прикольные инвестиции),https://tradelink.pro/portfolio/65313664-86d8-4433-bb50-58890fa1d5a0,"0,60","-19,57",,"7,49","0,44","12,12","-11,81","0,07",,,,,,,,,,,,"0,74","4,99","0,00","-0,16","0,86","1,00","-3,91","5,50","-1,47","-7,94","6,81","12,12","-11,81","1,08","3,22","-7,98","7,17"
Quant Hill Crypto Trend USDT,https://tradelink.pro/portfolio/54c4e5f6-2b87-41a8-8884-d24fa8f5da5e,"1,12","-25,06",,"25,01","0,89","28,45","-11,45","0,10","3,24","-2,64","1,40","-8,58","-0,41","4,46","-2,80","-3,99","5,14","0,29","0,02","-2,73","2,55","22,75","-4,89","0,65","-11,45","5,17","0,20","-8,65","28,45","0,46","1,38","1,47","-6,41","2,32","-7,66","11,72"
AfiTrading Foundation ALT HUNTER,https://copy.afitrading.ru/ranking/1939,"13,52",,"-28,29","66,55","5,55","140,49","-70,60","0,12",,,,,,,,,,,,,,,,,"12,89","21,2","140,49","0,54","-70,6",0,"5,5","5,11","2,6","8,7","10,78","24,99"
Algotoria MIXED,https://tradelink.pro/portfolio/8d78b017-b2aa-47f1-8c92-ece97c3d7a82 ,"4,07","-44,73",,"58,36","2,92","94,10","-19,37","0,13",,,,,,,,,"-1,68","6,24","7,62","-11,15","12,46","10,94","15,33","-2,86","-7,02","5,15","2,27","-10,92","94,10","1,90","-2,94","0,98","-7,25","-2,39","-19,37","-10,00"
Sergey F bot,https://tradelink.pro/portfolio/1bdabc11-db54-4ec1-9b7b-52d0ba14493e,"2,94","-44,91",,"31,02","2,07","37,91","-22,54","0,13",,,,,,,,,,,,,,"-6,74","30,31","0,08","-6,48","-4,74","8,65","-3,58","8,93","37,91","-7,00","-22,54","-3,37","9,16","-13,69","17,16"
Triple AI TradeLink PR_CT_BTC (ex Прикольные инвестиции),https://tradelink.pro/portfolio/a59e684c-08be-475f-b3e2-3596469967dd,"4,72","-36,40",,"35,71","2,98","51,43","-27,33","0,13",,,,,,,,,,,,,,,,,"1,46","7,60","-27,33","-5,16","25,08","13,73","51,43","5,11","-9,66","28,44","-21,52","-12,52"
Mellivora trade,"https://app.aivia.io/ranking/291
https://app.createcapital.pro/ranking/1764","2,37",,"-0,27","55,48","1,98","30,89","-17,02","0,15","13,24","3,93","29,84","-16,41","30,89","-17,02","-1,42","-0,26","24,00","16,66","-8,93","6,70","0,24","16,61",15,"-11,46","-15,89","-2,74","-1,34","3,48","5,76","-1,32","3,54","-8,93","-8,63","-0,43","-10,48","1,78"
EDKhan Felix,https://fund.edkhan.net/ranking/1535,"2,46",,,"34,87","2,05","33,73","-24,59","0,17",,,,,,,,,,,,"1,29","33,73","11,6","1,33","6,72","6,33","5,29","3,26","-0,91","8,29","1,1","7,59","-9,1","-15,08","-24,59","4,51","0,51"
Polos,https://app.aivia.io/ranking/859,"4,55",,,"101,94","3,64","59,05","-40,86","0,18","8,84","12,87","11,98","59,05","45,69","1,66","7,74","-10,45","24,88","-14,48","8,73","11,11","-40,86","-7,60","9,93","-24,25","-18,84","3,37","17,12","-2,33","3,16","24,99","-22,85","21,06","2,70","-4,57","-13,65","12,48"
