Проект,Мониторинг,"Срок жизни, в мес.",Cреднеарифметический % месячной доходности,Max просадка,Мах незафиксированная просадка,Общая доходность,"Среднемесячная доходность, %","Среднегодовая доходность, %",Лучший месяц,Худший месяц,Коэффициент Шарпа,05.21,06.21,07.21,08.21,09.21,10.21,11.21,12.21,01.22,02.22,03.22,04.22,05.22,06.22,07.22,08.22,09.22,10.22,11.22,12.22,01.23,02.23,03.23,04.23,05.23,06.23,07.23,08.23,09.23,10.23,11.23,12.23,01.24,02.24,03.24,04.24,05.24,06.24,07.24,08.24,09.24
,Среднее значение:,"18,11","4,19","-41,16","-27,61","116,61","5,96","31,45","45,80","-23,42","1,40","6,54","10,85","3,13","3,02","9,81","6,25","-0,17","-2,36","1,88","5,47","11,09","-2,07","4,84","2,42","8,75","-1,81","-0,68","3,62","8,45","0,30","13,12","1,75","8,58","2,10","-3,86","6,96","-1,63","1,90","-4,62","10,03","3,64","13,42","1,04","31,14","10,24","-1,60","3,40","-3,88","-0,22","-0,50","2,00"
SAVINSKYI HORIZON BREAK,https://tradelink.pro/portfolio/cd6adf35-3dca-446b-a73f-8ae56eb1a560,23,"-6,03","-98,96",,"-96,88","-4,21","-24,08","44,91","-89,22","-0,66",,,,,,,,,,,,,,,,,,,"0,38","-0,27","-4,39","-16,24","6,44","4,27","-3,49","1,51","-2,45","-10,86","1,55","6,37","10,84","10,83","0,46","44,91","1,80","-18,86","-89,22","-73,67","-8,87","-6,67","6,93"
Tangey Daniel E Hubner,https://www.etoro.com/people/howtogetref,41,"-1,02","-32,12",,"-46,74","-1,14","-10,73","27,83","-19,69","-0,54","-0,91","2,84","-5,34","5,96","-6,97","7,76","-8,29","-11,76","-13,58","-0,57","4,42","-19,69","-9,82","-12,20","11,10","1,76","-9,53","0,81","1,76","-11,09","27,83","-4,95","-2,61","-5,56","-2,91","6,98","9,24","-17,13","-7,95","-3,76","14,95","14,21","-9,68","16,31","8,96","-13,48","9,83","-5,30","-0,83","-10,21","7,65"
Olympus P O S E I D O N,https://app.zignaly.com/profit-sharing/60a75e85da8e96240e2c49ff,41,"0,63","-73,40",,"-46,49","-1,13","-5,89","55,57","-46,61","-0,24","14,41","4,22","8,31","30,52","37,78","19,68","-17,34","-37,76","-13,74","-5,87","14,54","-5,19","-15,94","-4,98","11,64","-3,49","-8,71","1,64","-6,57","-5,76","18,61","6,06","-6,38","-7,25","-5,77","-24,89","0,61","-2,39","0,00","2,99","17,35","32,89","-24,02","43,58","55,57","-46,61","6,53","-26,94","-20,71","-15,12","4,29"
Jay Edward Smith,https://www.etoro.com/people/jaynemesis/stats,41,"0,18","-22,25",,"-2,61","-0,06","0,94","16,97","-12,85","-0,21","-0,34","7,88","-1,27","1,13","-6,33","12,47","-2,87","-4,52","-11,69","-0,20","2,60","-12,85","-1,35","-10,69","16,97","-3,48","-11,82","5,23","8,05","-7,71","7,76","-2,91","2,50","-3,55","0,41","4,60","1,13","-6,92","-5,70","-7,63","13,75","9,16","0,28","8,02","2,01","-5,11","5,89","2,89","-3,66","1,97","3,14"
Apnaadvisor Apna Advisor Futures,https://app.zignaly.com/profit-sharing/62b56b1823937f7e6f5fd694,28,"1,05","-41,80",,"4,99","0,18","2,86","48,13","-37,91","-0,05",,,,,,,,,,,,,,"1,85","2,30","4,48","-3,48","11,37","13,64","-7,44","12,18","-11,04","4,71","2,59","2,71","-4,94","3,81","-8,61","5,85","4,77","1,61","0,61","3,09","-1,89","3,93","-37,91","48,13","-12,02","-5,57","-8,05","2,59"
TradeForImpact Ultra Safe,https://app.zignaly.com/profit-sharing/61af89264bd3384d8220f87c,34,"0,75","-25,40",,"13,47","0,40","8,98","30,77","-9,58","0,09",,,,,,,,"-0,69","-7,55","-5,12","14,07","-9,58","-5,41","-8,35","9,40","-6,19","-6,66","-2,63","-4,36","-4,36","19,58","0,52","30,77","-7,21","-1,26","-1,05","-0,65","-1,00","3,97","3,99","2,78","7,96","-7,22","15,33","13,01","-7,76","-1,31","-7,07","-3,74","-1,05","4,21"
Jeppe Kirk Bonde,https://www.etoro.com/people/jeppekirkbonde/stats,41,"0,65","-16,58",,"25,00","0,61","7,12","9,73","-8,24","0,11","2,50","1,85","-0,94","0,54","-3,99","5,98","-2,70","1,72","-4,94","-2,06","2,07","-8,08","-1,34","-7,67","6,05","-3,18","-8,24","3,23","9,73","-4,41","9,11","-3,21","4,29","-0,85","-0,68","5,07","3,53","-3,87","-3,38","-2,28","8,19","6,61","-1,13","4,71","3,59","-1,57","6,63","0,67","0,51","1,85","2,65"
Selim Boukezouh,https://www.etoro.com/people/selim_/stats,41,"1,27","-38,42",,"44,07","1,07","13,23","25,52","-22,25","0,24","8,03","-0,15","-0,21","0,09","-1,11","2,23","-1,88","2,20","-3,99","-1,84","2,33","-3,45","-0,54","-5,21","8,11","-5,16","-5,90","3,19","-4,61","-5,49","15,50","-0,90","4,35","-0,95","-2,31","1,33","0,75","-5,34","-0,70","6,04","16,25","17,65","-6,53","25,52","19,45","-22,25","11,51","-10,94","-2,40","-8,53","7,74"
