Проект,Мониторинг,Cреднеарифметический % месячной доходности,Max просадка,Мах незафиксированная просадка,Общая доходность,"Среднемесячная доходность, %",Лучший месяц,Худший месяц,Коэффициент Шарпа,05.21,06.21,07.21,08.21,09.21,10.21,11.21,12.21,01.22,02.22,03.22,04.22,05.22,06.22,07.22,08.22,09.22,10.22,11.22,12.22,01.23,02.23,03.23,04.23,05.23,06.23,07.23,08.23,09.23,10.23,11.23
,Среднее значение:,"3,06","-39,32","-21,74","58,10","3,63","34,89","-22,07","0,27","5,01","4,34","2,06","2,70","10,06","6,86","0,88","-1,53","1,16","4,62","11,57","-1,42","5,57","0,09","7,32","-1,14","-2,11","3,98","9,27","0,50","13,28","1,96","9,59","2,41","-5,12","6,54","-2,38","2,22","-5,51","8,95","1,16"
Triple AI Bourbaki [ETH] (ex Прикольные инвестиции),https://tradelink.pro/portfolio/31331109-8a93-4c80-a3cb-59dd4e5dcfd6,"-7,94","-75,31",,"-69,80","-5,37","21,57","-29,50","-0,41",,,,,,,,,,,,,,,,,,,"21,57","-26,17","0,30","-3,94","-9,40","-0,49","-17,24","1,47","-11,11","-2,66","-29,50","-10,61","-15,41"
Mellivora trade TradeLink M_USD,https://tradelink.pro/portfolio/71c126e3-15d7-42c7-9001-fbd3b8375572,"-2,55","-49,05",,"-38,74","-2,28","8,77","-18,38","-0,30",,,,,,,,,,,,,,,"5,27","-11,58","-18,38","-1,88","0,02","-1,09","5,68","-1,90","3,73","-10,07","-10,61","2,83","-10,32","6,93","-5,95","8,77","-4,74"
Triple AI Feynman [ETH] (ex Прикольные инвестиции),https://tradelink.pro/portfolio/e6f56f24-b735-42e1-84a3-acdd81155d73,"-3,97","-72,80",,"-55,99","-3,73","28,16","-27,61","-0,22",,,,,,,,,,,,,,,,,"-15,01","23,47","17,03","-19,39","28,16","-2,01","1,34","0,80","-24,23","-8,17","-27,61","-13,11","-20,82","0,00","0,00"
Triple AI Bourbaki [BTC+ETH] (ex Прикольные инвестиции),https://tradelink.pro/portfolio/42701af9-5946-4e6e-819e-a35a89506ff1,"-1,78","-77,11",,"-44,63","-2,98","37,56","-31,23","-0,14",,,,,,,,,,,,,,,,,"26,25","37,56","29,16","-30,48","7,19","-7,68","-5,00","3,16","-27,33","8,04","-12,61","-3,62","-31,23","-16,33","-3,78"
AfiTrading Foundation TURBO SCALP,https://copy.afitrading.ru/ranking/1934,"-0,39",,"-15,47","-39,56","-2,64","37,66","-56,18","-0,12",,,,,,,,,,,,,,,,,"37,66","15,49","18,94","-56,18","0,00","0,00","1,61","4,17","1,39","-3,10","5,54","22,99","-14,08","-29,27","-11,08"
SAVINSKYI HORIZON BREAK,https://tradelink.pro/portfolio/cd6adf35-3dca-446b-a73f-8ae56eb1a560,"-0,49","-32,21",,"-9,25","-0,71","10,84","-16,24","-0,10",,,,,,,,,,,,,,,,,,,"0,38","-0,27","-4,39","-16,24","6,44","4,27","-3,49","1,51","-2,45","-10,86","1,55","6,37","10,84"
jaynemesis,https://www.etoro.com/people/jaynemesis/stats,"-0,56","-22,25",,"-22,92","-0,74","16,97","-12,85","-0,10","-0,34","7,88","-1,27","1,13","-6,33","12,47","-2,87","-4,52","-11,69","-0,20","2,60","-12,85","-1,35","-10,69","16,97","-3,48","-11,82","5,23","8,05","-7,71","7,76","-2,91","2,50","-3,55","0,41","4,60","1,13","-6,92","-5,70","-7,63","13,75"
MyMbot TradeLink MYM_USD,https://tradelink.pro/portfolio/534119c7-64d8-447d-9c01-8c3c7b73483f,"-0,06","-29,50",,"-5,45","-0,42","12,59","-22,50","-0,05",,,,,,,,,,,,,,,,,,,"2,93","-3,81","2,73","2,23","12,59","4,26","-0,72","5,84","5,65","-3,24","2,67","-22,50","-9,37"
